Start:, 16/09/2012 20:21:54 , HipCenter , , , Spine , , , ShoulderCenter , , , Head , , , ShoulderLeft , , , ElbowLeft , , , WristLeft , , , HandLeft , , , ShoulderRight , , , ElbowRight , , , WristRight , , , HandRight , , , HipLeft , , , KneeLeft , , , AnkleLeft , , , FootLeft , , , HipRight , , , KneeRight , , , AnkleRight , , , FootRight , , , 
23 , 768 , -0.02403205 , -0.2963616 , 3.062956 , -0.0211798 , -0.2410557 , 3.026531 , -0.005021448 , 0.02738114 , 2.850456 , 0.01967123 , 0.1868931 , 2.726106 , -0.1710164 , -0.0265311 , 2.855023 , -0.3658391 , -0.2129596 , 2.921191 , -0.4268448 , -0.4443906 , 2.906468 , -0.4287421 , -0.53414 , 2.876006 , 0.17362 , -0.01530778 , 2.948998 , 0.2829838 , -0.1903149 , 3.118909 , 0.3744027 , -0.4525394 , 3.170651 , 0.375432 , -0.5241188 , 3.137377 , -0.1023264 , -0.3619153 , 3.093602 , -0.2119179 , -0.7568238 , 2.886062 , -0.2414032 , -1.103805 , 2.968244 , -0.2200056 , -1.184188 , 2.893939 , 0.0462962 , -0.3623105 , 3.112881 , 0.1704366 , -0.6900807 , 3.022445 , 0.1881347 , -1.005687 , 3.080658 , 0.2095322 , -1.086071 , 3.006353 , 
24 , 800 , -0.02587557 , -0.3267882 , 3.06672 , -0.02272152 , -0.2727693 , 3.028056 , -0.00423256 , -0.009002219 , 2.842211 , 0.02795255 , 0.1387882 , 2.715409 , -0.1683408 , -0.06248315 , 2.847346 , -0.3757876 , -0.2308063 , 2.920368 , -0.4465113 , -0.4533108 , 2.909289 , -0.463739 , -0.5560507 , 2.885757 , 0.1695498 , -0.03856178 , 2.941648 , 0.2839326 , -0.2033948 , 3.117354 , 0.3795381 , -0.461071 , 3.18009 , 0.3949406 , -0.5384071 , 3.176463 , -0.1051261 , -0.3887601 , 3.101291 , -0.1892796 , -0.669657 , 2.926725 , -0.2172824 , -0.9915349 , 2.998685 , -0.194058 , -1.073619 , 2.926862 , 0.04498301 , -0.3892872 , 3.11491 , 0.1774263 , -0.6950831 , 3.016652 , 0.1881332 , -1.005633 , 3.080363 , 0.2113575 , -1.087717 , 3.008541 , 
25 , 835 , -0.02476489 , -0.3437475 , 3.064838 , -0.0210357 , -0.2912486 , 3.026026 , 0.0005758724 , -0.03457175 , 2.841361 , 0.02955603 , 0.1224229 , 2.715102 , -0.1663669 , -0.08610504 , 2.840893 , -0.3813292 , -0.2450966 , 2.913215 , -0.4585417 , -0.4635521 , 2.919555 , -0.4744172 , -0.5615105 , 2.899241 , 0.1745283 , -0.0665241 , 2.941204 , 0.2888409 , -0.2236541 , 3.122929 , 0.3885808 , -0.4703481 , 3.211928 , 0.410774 , -0.5460661 , 3.213419 , -0.1050507 , -0.4063726 , 3.101502 , -0.1908778 , -0.6721293 , 2.921992 , -0.2172793 , -0.9871337 , 2.989938 , -0.1938241 , -1.069766 , 2.919022 , 0.04575673 , -0.4097885 , 3.112504 , 0.1813026 , -0.6963004 , 3.011069 , 0.1881665 , -1.006171 , 3.080369 , 0.2116217 , -1.088803 , 3.009453 , 
26 , 868 , -0.02135794 , -0.3591988 , 3.060269 , -0.0181289 , -0.3057904 , 3.020769 , 0.0008396315 , -0.04455722 , 2.833748 , 0.02181972 , 0.1141135 , 2.707717 , -0.1670332 , -0.09466369 , 2.836349 , -0.3824489 , -0.2522795 , 2.909792 , -0.4838625 , -0.4977162 , 2.933307 , -0.4929233 , -0.5728289 , 2.911035 , 0.1735143 , -0.07668544 , 2.936003 , 0.2889393 , -0.229883 , 3.119989 , 0.392258 , -0.45647 , 3.245254 , 0.41483 , -0.5474361 , 3.222336 , -0.099906 , -0.421351 , 3.099728 , -0.1904782 , -0.6800197 , 2.913477 , -0.2186262 , -0.9832037 , 2.978106 , -0.1954762 , -1.065589 , 2.906952 , 0.04826415 , -0.4236043 , 3.106793 , 0.1851515 , -0.6988943 , 3.004682 , 0.1866683 , -1.009386 , 3.080429 , 0.2098182 , -1.091772 , 3.009275 , 
27 , 900 , -0.02260563 , -0.3765286 , 3.054699 , -0.01893147 , -0.3253079 , 3.01416 , 0.002229078 , -0.07503818 , 2.821861 , 0.02076844 , 0.09045441 , 2.702123 , -0.1688934 , -0.1099209 , 2.82969 , -0.3878351 , -0.2597611 , 2.907248 , -0.487471 , -0.4824964 , 2.942672 , -0.5090457 , -0.5627726 , 2.925927 , 0.1724434 , -0.09630952 , 2.930672 , 0.2886537 , -0.247168 , 3.115877 , 0.3954098 , -0.4662533 , 3.250216 , 0.4218693 , -0.5588721 , 3.251128 , -0.1022297 , -0.4357527 , 3.096425 , -0.1896859 , -0.6921676 , 2.902215 , -0.2186366 , -0.9862647 , 2.980106 , -0.196364 , -1.070418 , 2.910843 , 0.04726009 , -0.4422094 , 3.101232 , 0.1868652 , -0.7056584 , 2.993982 , 0.1870534 , -1.01072 , 3.07952 , 0.209326 , -1.094872 , 3.010257 , 
28 , 935 , -0.02027159 , -0.3925421 , 3.054591 , -0.01693682 , -0.3383968 , 3.013402 , 0.002607775 , -0.07732306 , 2.820406 , 0.02712849 , 0.08554261 , 2.698631 , -0.1650856 , -0.1270505 , 2.824005 , -0.3894491 , -0.2658781 , 2.905142 , -0.5119115 , -0.5146666 , 2.957947 , -0.5337805 , -0.589912 , 2.949535 , 0.1761594 , -0.1162337 , 2.928722 , 0.2901461 , -0.2583765 , 3.121 , 0.4010621 , -0.46109 , 3.274326 , 0.4255147 , -0.5523151 , 3.260724 , -0.09745239 , -0.4549198 , 3.095203 , -0.1866908 , -0.6977061 , 2.893982 , -0.2180496 , -0.9828024 , 2.972801 , -0.1951944 , -1.065849 , 2.902606 , 0.04810684 , -0.4566701 , 3.102249 , 0.1891348 , -0.7099389 , 2.989542 , 0.1852045 , -1.0178 , 3.086573 , 0.2080597 , -1.100847 , 3.016378 , 
29 , 968 , -0.01954938 , -0.4054804 , 3.050744 , -0.0185267 , -0.354362 , 3.009413 , -0.01953175 , -0.1092942 , 2.815927 , 0.01534753 , 0.06079842 , 2.703509 , -0.1688415 , -0.1506195 , 2.823228 , -0.3970777 , -0.2804351 , 2.90731 , -0.5128698 , -0.5154164 , 2.958131 , -0.5380244 , -0.5896721 , 2.950675 , 0.1701538 , -0.1277211 , 2.918623 , 0.2876652 , -0.2587731 , 3.115844 , 0.3937797 , -0.4521807 , 3.2827 , 0.4291512 , -0.51665 , 3.342922 , -0.09323425 , -0.4690393 , 3.092736 , -0.1874745 , -0.7036752 , 2.884281 , -0.2189455 , -0.9817432 , 2.968111 , -0.1962133 , -1.065557 , 2.898736 , 0.05062647 , -0.4666319 , 3.097514 , 0.1921568 , -0.7161752 , 2.980399 , 0.2018275 , -0.9856958 , 3.052132 , 0.2245596 , -1.069509 , 2.982757 , 
30 , 1000 , -0.019847 , -0.4297593 , 3.047299 , -0.01648323 , -0.3803155 , 3.006602 , 0.003425018 , -0.1395191 , 2.816763 , 0.02697391 , 0.02001004 , 2.691282 , -0.1700384 , -0.1795834 , 2.826038 , -0.4027867 , -0.2917492 , 2.910007 , -0.5191032 , -0.5213309 , 2.958522 , -0.5443581 , -0.5952535 , 2.948735 , 0.1688045 , -0.16651 , 2.917278 , 0.2907759 , -0.2802967 , 3.121381 , 0.4031799 , -0.4764558 , 3.278155 , 0.4343402 , -0.5587564 , 3.291163 , -0.09566778 , -0.4914804 , 3.08905 , -0.1862206 , -0.7114448 , 2.875429 , -0.2198461 , -0.9827116 , 2.961915 , -0.1995955 , -1.067494 , 2.893006 , 0.04708694 , -0.4918988 , 3.095237 , 0.1925434 , -0.719952 , 2.973327 , 0.1862949 , -1.017667 , 3.074641 , 0.2065455 , -1.10245 , 3.005732 , 
31 , 1035 , -0.0178759 , -0.4405417 , 3.042829 , -0.01377788 , -0.3896689 , 3.002892 , 0.007789128 , -0.1423081 , 2.815727 , 0.02791106 , 0.01935008 , 2.691751 , -0.1686058 , -0.1860998 , 2.82484 , -0.3987575 , -0.3152412 , 2.902644 , -0.5194882 , -0.5223899 , 2.955644 , -0.5521695 , -0.5970067 , 2.946371 , 0.1704854 , -0.1718352 , 2.917904 , 0.2857409 , -0.3007104 , 3.117436 , 0.3996824 , -0.5021587 , 3.270031 , 0.4317687 , -0.569845 , 3.294089 , -0.0942667 , -0.502647 , 3.0843 , -0.1840017 , -0.7149662 , 2.872283 , -0.2187375 , -0.9773371 , 2.951798 , -0.1824441 , -1.063577 , 2.963937 , 0.04741693 , -0.5043527 , 3.089386 , 0.1930597 , -0.728039 , 2.96293 , 0.185811 , -1.01785 , 3.074249 , 0.2067986 , -1.101574 , 3.00446 , 
32 , 1067 , -0.01930632 , -0.4485097 , 3.03986 , -0.0150143 , -0.3975198 , 3.000237 , 0.007422296 , -0.1466412 , 2.815149 , 0.02827903 , 0.01682489 , 2.692946 , -0.1684153 , -0.1918151 , 2.823212 , -0.3841634 , -0.3479185 , 2.897661 , -0.5172374 , -0.5445176 , 2.947709 , -0.5513417 , -0.6154308 , 2.944193 , 0.1714548 , -0.1848981 , 2.918034 , 0.2859029 , -0.3201912 , 3.114157 , 0.3984416 , -0.5105026 , 3.280196 , 0.4160044 , -0.5835997 , 3.25717 , -0.09532496 , -0.5103482 , 3.080204 , -0.1828698 , -0.7225908 , 2.865621 , -0.2185716 , -0.9791008 , 2.94467 , -0.1982325 , -1.062308 , 2.874167 , 0.04523969 , -0.5135406 , 3.086974 , 0.1922555 , -0.7305929 , 2.959301 , 0.1850754 , -1.016701 , 3.068652 , 0.2054145 , -1.099908 , 2.998149 , 
33 , 1100 , -0.01686741 , -0.4525544 , 3.03399 , -0.01335945 , -0.4005595 , 2.99545 , 0.007037216 , -0.1464622 , 2.814031 , 0.03555857 , 0.02055398 , 2.696528 , -0.1665494 , -0.1955847 , 2.821206 , -0.377417 , -0.3609638 , 2.891007 , -0.5027444 , -0.5659248 , 2.932542 , -0.5406229 , -0.6465435 , 2.935817 , 0.1753381 , -0.1886487 , 2.919017 , 0.2832347 , -0.3390667 , 3.10858 , 0.3964662 , -0.5387295 , 3.263647 , 0.4325489 , -0.6319139 , 3.292892 , -0.08953939 , -0.5178804 , 3.068141 , -0.1809902 , -0.7289674 , 2.86255 , -0.2195914 , -0.9764376 , 2.930024 , -0.1985152 , -1.058663 , 2.85862 , 0.04732957 , -0.5177568 , 3.083332 , 0.1891899 , -0.7313918 , 2.951833 , 0.1830845 , -1.013329 , 3.06013 , 0.2041607 , -1.095555 , 2.988726 , 
34 , 1135 , -0.01406377 , -0.4544222 , 3.031223 , -0.0104535 , -0.4025075 , 2.992909 , 0.009219596 , -0.1473109 , 2.813614 , 0.03624878 , 0.02110162 , 2.6972 , -0.1653403 , -0.196459 , 2.819955 , -0.3666371 , -0.3782525 , 2.88011 , -0.4886039 , -0.5955977 , 2.909611 , -0.5197789 , -0.6860145 , 2.904533 , 0.178639 , -0.1898767 , 2.918856 , 0.2825637 , -0.3601546 , 3.095212 , 0.391153 , -0.561519 , 3.235373 , 0.4249063 , -0.6495211 , 3.258516 , -0.08748951 , -0.5204682 , 3.065496 , -0.1780882 , -0.7306393 , 2.860625 , -0.2196456 , -0.9751228 , 2.927098 , -0.1984225 , -1.057005 , 2.855304 , 0.05008617 , -0.5193945 , 3.081189 , 0.1873269 , -0.735855 , 2.945843 , 0.1835054 , -1.013157 , 3.059101 , 0.2047284 , -1.095039 , 2.987307 , 
35 , 1167 , -0.01253271 , -0.4532103 , 3.028269 , -0.008681344 , -0.4010859 , 2.990168 , 0.01259888 , -0.143151 , 2.812419 , 0.03545896 , 0.03102353 , 2.701548 , -0.1639474 , -0.1955341 , 2.818996 , -0.3466277 , -0.4016049 , 2.85902 , -0.4500709 , -0.6116195 , 2.860615 , -0.4822653 , -0.7124091 , 2.849937 , 0.1822182 , -0.1892062 , 2.919675 , 0.2824447 , -0.3839406 , 3.074798 , 0.3893173 , -0.6023213 , 3.185488 , 0.4309418 , -0.6976014 , 3.207807 , -0.08698491 , -0.5193793 , 3.062745 , -0.1753373 , -0.7306853 , 2.859138 , -0.2186092 , -0.9744526 , 2.923675 , -0.1971106 , -1.055922 , 2.851589 , 0.05195171 , -0.5190307 , 3.078085 , 0.1863191 , -0.7374352 , 2.935694 , 0.1852316 , -1.002581 , 3.034176 , 0.2067303 , -1.08405 , 2.96209 , 
36 , 1200 , -0.01241639 , -0.4427094 , 3.021475 , -0.007905121 , -0.3871552 , 2.983658 , 0.01813174 , -0.09867553 , 2.811872 , 0.04331385 , 0.09242492 , 2.723141 , -0.1559576 , -0.1726811 , 2.81501 , -0.3302328 , -0.3942442 , 2.830059 , -0.4167285 , -0.6206353 , 2.798742 , -0.4392054 , -0.7135749 , 2.782798 , 0.1871874 , -0.1821814 , 2.92111 , 0.2892558 , -0.3980433 , 3.049684 , 0.3948249 , -0.6146249 , 3.112286 , 0.4261127 , -0.7001032 , 3.085833 , -0.08952336 , -0.5061733 , 3.053643 , -0.1726889 , -0.7319318 , 2.855496 , -0.2174867 , -0.9779823 , 2.924241 , -0.1958669 , -1.056608 , 2.849026 , 0.05309588 , -0.512186 , 3.069186 , 0.1842591 , -0.7405251 , 2.934649 , 0.1798879 , -1.017477 , 3.045546 , 0.2015078 , -1.096103 , 2.970331 , 
37 , 1235 , -0.0136264 , -0.4255169 , 3.015161 , -0.008680698 , -0.3687351 , 2.978911 , 0.0179534 , -0.0857747 , 2.813646 , 0.041918 , 0.1046908 , 2.72354 , -0.1535153 , -0.150651 , 2.814575 , -0.3095692 , -0.3759221 , 2.799762 , -0.3897377 , -0.6196035 , 2.716171 , -0.3861373 , -0.6912568 , 2.684065 , 0.191963 , -0.1509449 , 2.92476 , 0.2953353 , -0.3844106 , 3.024653 , 0.3936711 , -0.5976514 , 3.003174 , 0.4209094 , -0.6837822 , 2.962054 , -0.09195507 , -0.4897349 , 3.045966 , -0.1698464 , -0.7308444 , 2.854057 , -0.2138921 , -0.9770732 , 2.92257 , -0.190273 , -1.055009 , 2.847329 , 0.05230535 , -0.4975656 , 3.060623 , 0.1791247 , -0.7352962 , 2.929118 , 0.180719 , -1.013062 , 3.041 , 0.2043381 , -1.090998 , 2.965759 , 
38 , 1267 , -0.01748245 , -0.3949498 , 3.008434 , -0.01319994 , -0.3358572 , 2.974663 , 0.007866253 , -0.03721596 , 2.823738 , 0.03799305 , 0.1565635 , 2.739745 , -0.153474 , -0.1130882 , 2.816218 , -0.2947724 , -0.3332357 , 2.764722 , -0.3395951 , -0.5622888 , 2.615068 , -0.3397015 , -0.6343037 , 2.564354 , 0.1926707 , -0.1007385 , 2.926021 , 0.2980875 , -0.3265663 , 2.979819 , 0.3922344 , -0.5065514 , 2.909712 , 0.4246663 , -0.5858245 , 2.846728 , -0.09592529 , -0.4618953 , 3.038233 , -0.1675588 , -0.7300735 , 2.853179 , -0.205568 , -0.9250743 , 2.876529 , -0.205428 , -1.021922 , 2.959425 , 0.05017846 , -0.468778 , 3.048614 , 0.1761731 , -0.7336181 , 2.927928 , 0.1831366 , -1.002143 , 3.025474 , 0.2088925 , -1.076787 , 2.947671 , 
39 , 1300 , -0.01234015 , -0.3616495 , 3.004829 , -0.006909092 , -0.2999753 , 2.973545 , 0.02153113 , 0.007872673 , 2.834682 , 0.03959733 , 0.1904118 , 2.739989 , -0.1490754 , -0.07281224 , 2.815567 , -0.2936366 , -0.2585017 , 2.743031 , -0.3043198 , -0.464784 , 2.532724 , -0.2864343 , -0.5322802 , 2.469035 , 0.1961461 , -0.07608622 , 2.928802 , 0.3029254 , -0.2515442 , 2.948918 , 0.3960363 , -0.4155552 , 2.841115 , 0.4190095 , -0.4707252 , 2.737761 , -0.09313929 , -0.4312838 , 3.027683 , -0.1641497 , -0.7253198 , 2.85428 , -0.2124294 , -1.014966 , 2.965698 , -0.2430673 , -1.087216 , 3.066121 , 0.05560998 , -0.43679 , 3.0454 , 0.1677482 , -0.7261617 , 2.930937 , 0.1824983 , -1.002183 , 3.025992 , 0.2079436 , -1.074864 , 2.94629 , 
40 , 1335 , -0.01430826 , -0.3090556 , 2.996047 , -0.008620045 , -0.2468213 , 2.967951 , 0.02039724 , 0.06366805 , 2.842624 , 0.03906152 , 0.2378233 , 2.759861 , -0.1504894 , -0.01768233 , 2.815039 , -0.2807564 , -0.1784066 , 2.723397 , -0.2880096 , -0.3118258 , 2.533021 , -0.2562499 , -0.3854076 , 2.420055 , 0.1971875 , -0.01582197 , 2.933693 , 0.3113599 , -0.1899657 , 2.93826 , 0.4283921 , -0.3239214 , 2.811709 , 0.4634042 , -0.3680169 , 2.721608 , -0.09792306 , -0.381703 , 3.007673 , -0.1589339 , -0.7097641 , 2.862837 , -0.2128281 , -1.012048 , 2.965909 , -0.1853667 , -1.082673 , 2.885033 , 0.05540285 , -0.3857284 , 3.040368 , 0.1587907 , -0.7039732 , 2.938833 , 0.1821758 , -1.001667 , 3.026307 , 0.2096372 , -1.072291 , 2.945431 , 
41 , 1368 , -0.008521324 , -0.2518411 , 2.982543 , -0.004022751 , -0.1884375 , 2.957057 , 0.01899092 , 0.1280412 , 2.84492 , 0.04126139 , 0.3045543 , 2.770924 , -0.1512312 , 0.04673649 , 2.814455 , -0.3132858 , -0.1131929 , 2.668053 , -0.2687244 , -0.2113394 , 2.473411 , -0.2154556 , -0.240515 , 2.354464 , 0.1999181 , 0.04705345 , 2.933287 , 0.3239808 , -0.1204558 , 2.93596 , 0.4361252 , -0.180355 , 2.754354 , 0.4590928 , -0.2101841 , 2.68546 , -0.09105735 , -0.3264873 , 2.989016 , -0.1575467 , -0.756657 , 2.861033 , -0.2110146 , -1.005959 , 2.967179 , -0.183321 , -1.074142 , 2.884411 , 0.06284237 , -0.3314598 , 3.026365 , 0.1726387 , -0.7615666 , 2.938673 , 0.2005014 , -1.10345 , 3.026477 , 0.228195 , -1.171633 , 2.943709 , 
42 , 1400 , -0.007377301 , -0.1869399 , 2.970772 , -0.00372799 , -0.121314 , 2.948254 , 0.01497219 , 0.206409 , 2.851078 , 0.03272759 , 0.3807526 , 2.768395 , -0.1569343 , 0.1126226 , 2.812773 , -0.2978025 , -0.01013858 , 2.689002 , -0.2926314 , -0.08047793 , 2.476992 , -0.1759787 , -0.04283783 , 2.349776 , 0.1951098 , 0.1152873 , 2.924962 , 0.347398 , -0.02990945 , 2.897565 , 0.4012044 , 0.02467095 , 2.687839 , 0.4169526 , 0.01128347 , 2.583677 , -0.0913797 , -0.2641018 , 2.971406 , -0.1618572 , -0.7036372 , 2.893323 , -0.2084678 , -0.9967374 , 2.97155 , -0.2279814 , -1.069876 , 3.062783 , 0.06767228 , -0.2673467 , 3.01257 , 0.1564613 , -0.7068812 , 2.963863 , 0.1906439 , -1.052672 , 3.036909 , 0.2175636 , -1.118189 , 2.951729 , 
43 , 1436 , -0.0009189546 , -0.1104018 , 2.950681 , 0.002255399 , -0.04333854 , 2.931546 , 0.01849634 , 0.291683 , 2.851394 , 0.02390225 , 0.4682618 , 2.773337 , -0.1581574 , 0.1921835 , 2.813491 , -0.3079631 , 0.09953404 , 2.671624 , -0.2952976 , 0.02997482 , 2.459827 , -0.2910758 , 0.006788412 , 2.393817 , 0.1955547 , 0.1992731 , 2.912144 , 0.3536396 , 0.06094369 , 2.875675 , 0.4015921 , 0.03647882 , 2.658643 , 0.4000397 , 0.08671148 , 2.553673 , -0.08548547 , -0.1908765 , 2.946887 , -0.1559338 , -0.6347843 , 2.920526 , -0.2138055 , -0.9865092 , 2.988224 , -0.2279645 , -1.070063 , 3.064893 , 0.07589559 , -0.1904684 , 2.988621 , 0.1473434 , -0.6475372 , 2.986021 , 0.176902 , -1.001808 , 3.064508 , 0.2012533 , -1.06475 , 2.976671 , 
44 , 1467 , 0.001571534 , -0.04047313 , 2.930414 , 0.002297743 , 0.02972898 , 2.914816 , 0.006190511 , 0.3805529 , 2.852444 , 0.02361311 , 0.5580913 , 2.770428 , -0.1611812 , 0.2769847 , 2.818978 , -0.3172711 , 0.1867235 , 2.68377 , -0.2806768 , 0.1403948 , 2.468187 , -0.2684787 , 0.1249519 , 2.400915 , 0.1937925 , 0.2791167 , 2.895759 , 0.3680677 , 0.1662653 , 2.835445 , 0.4092838 , 0.1607272 , 2.615557 , 0.4098713 , 0.1997312 , 2.516825 , -0.08021463 , -0.1216857 , 2.923714 , -0.1618746 , -0.6332705 , 2.956697 , -0.2276331 , -1.012749 , 3.04081 , -0.2086459 , -1.072653 , 2.949739 , 0.08157793 , -0.1214888 , 2.961853 , 0.1443528 , -0.6358131 , 3.008358 , 0.1734333 , -1.026309 , 3.112101 , 0.1924205 , -1.086213 , 3.02103 , 
45 , 1500 , 0.007763121 , 0.02676307 , 2.914995 , 0.008592136 , 0.09882005 , 2.900949 , 0.01296788 , 0.4589641 , 2.846455 , 0.0183862 , 0.6336695 , 2.768156 , -0.1602798 , 0.3424215 , 2.811563 , -0.3081833 , 0.2375647 , 2.573845 , -0.1083732 , 0.3550602 , 2.395143 , -0.04092588 , 0.3605444 , 2.313819 , 0.1917646 , 0.3663923 , 2.883016 , 0.3616842 , 0.2522819 , 2.79081 , 0.4078219 , 0.2993136 , 2.577359 , 0.3968791 , 0.3553706 , 2.487791 , -0.07338084 , -0.05631582 , 2.905862 , -0.1693783 , -0.6105585 , 2.991727 , -0.2301586 , -0.9986218 , 3.024102 , -0.2115515 , -1.057465 , 2.932288 , 0.08695856 , -0.05196245 , 2.944635 , 0.1453591 , -0.6277673 , 3.035556 , 0.1793032 , -1.026684 , 3.10743 , 0.1979103 , -1.085528 , 3.015616 , 
46 , 1535 , 0.00933593 , 0.0903095 , 2.898457 , 0.009582951 , 0.1636186 , 2.884748 , 0.01102459 , 0.5300456 , 2.832043 , 0.01175542 , 0.7019657 , 2.757057 , -0.1568816 , 0.4046855 , 2.804298 , -0.3175606 , 0.3062926 , 2.579737 , -0.1507235 , 0.4091608 , 2.452199 , -0.101253 , 0.4511654 , 2.407998 , 0.1928478 , 0.4328252 , 2.874495 , 0.3691133 , 0.3231377 , 2.779193 , 0.3948206 , 0.3980594 , 2.570646 , 0.3758736 , 0.4636923 , 2.48929 , -0.0701307 , 0.009944183 , 2.887704 , -0.1672653 , -0.5588568 , 3.007324 , -0.2375782 , -0.9958546 , 3.007927 , -0.2190568 , -1.054348 , 2.915869 , 0.0881831 , 0.009365869 , 2.928523 , 0.1400786 , -0.5842756 , 3.039344 , 0.1955037 , -1.021206 , 3.100094 , 0.2424393 , -1.110814 , 3.177255 , 
